Name,30D_1,30D_2,30D_3,50D_1,50D_2,50D_3
Cc72_00013444-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013445-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013436-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013440-RA,790.0,668.927,672.0,572.0,651.538,656.813
Cc72_00013438-RA,648.0,549.0,536.0,257.0,292.0,353.0
Cc72_00013437-RA,80.0,127.0,76.0,12.0,4.0,1.0
Cc72_00013447-RA,0.0,0.0,0.0,0.0,0.0,1.0
Cc72_00013448-RA,6.0,11.0,8.0,6.0,10.0,5.0
Cc72_00013449-RA,2.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013446-RA,144.0,129.0,109.0,124.0,164.0,178.0
Cc72_00013451-RA,93.0,97.0,89.0,53.0,64.0,57.0
Cc72_00013452-RA,841.0,851.0,770.0,377.0,468.0,495.0
Cc72_00013455-RA,0.0,0.0,0.0,0.0,0.0,0.0
Cc72_00013464-RA,331.0,283.0,245.0,146.0,198.0,227.0
Cc72_00013461-RA,116.0,0.0,39.0,758.0,473.0,182.0
Cc72_00013462-RA,440.0,192.0,364.0,1357.0,1577.0,1501.0
Cc72_00013459-RA,19.0,0.0,7.0,71.0,35.0,74.0
Cc72_00013453-RA,82.0,62.0,41.0,99.0,60.0,99.0
Cc72_00013463-RA,479.227,474.0,436.086,373.721,257.299,470.172
Cc72_00013460-RA,3298.0,2733.0,2753.0,2783.0,3016.0,3449.0
