Name,Spearman
Cc72_00013306-RA,-0.392857143
Cc72_00013303-RA,-0.178571429
Cc72_00013308-RA,-0.222717702
Cc72_00013299-RA,-0.857142857
Cc72_00013297-RA,0.089087081
Cc72_00013305-RA,-0.357142857
Cc72_00013304-RA,-0.214285714
Cc72_00013300-RA,-0.464285714
Cc72_00013315-RA,-0.204124145
Cc72_00013314-RA,0.035714286
Cc72_00013309-RA,-0.089087081
Cc72_00013310-RA,-0.857142857
Cc72_00013311-RA,-0.571428571
Cc72_00013312-RA,-0.704186851
Cc72_00013313-RA,-0.071428571
Cc72_00013316-RA,-0.178174161
Cc72_00013319-RA,0.571428571
Cc72_00013317-RA,-0.579066024
Cc72_00013320-RA,0.607142857
Cc72_00013318-RA,-0.857142857
Cc72_00013322-RA,
Cc72_00013325-RA,
Cc72_00013324-RA,0.591082805
Cc72_00013321-RA,-0.964285714
Cc72_00013323-RA,0.95499371
Cc72_00013327-RA,
Cc72_00013326-RA,0.394055203
Cc72_00013343-RA,-0.928571429
Cc72_00013342-RA,0.142857143
Cc72_00013330-RA,0.321428571
Cc72_00013331-RA,
Cc72_00013344-RA,0.035714286
Cc72_00013346-RA,-0.357142857
Cc72_00013338-RA,-0.178571429
Cc72_00013334-RA,-0.612372436
Cc72_00013332-RA,0
Cc72_00013329-RA,
Cc72_00013328-RA,0.738768719
Cc72_00013340-RA,-0.25
Cc72_00013333-RA,0.504524979
Cc72_00013345-RA,
Cc72_00013341-RA,-0.785714286
Cc72_00013347-RA,0.571428571
Cc72_00013337-RA,
Cc72_00013339-RA,0.357142857
Cc72_00013336-RA,0.378393734
Cc72_00013335-RA,0.214285714
Cc72_00013355-RA,-0.357142857
Cc72_00013351-RA,-0.071428571
Cc72_00013353-RA,-0.357142857
Cc72_00013349-RA,-0.607142857
Cc72_00013350-RA,-0.785714286
Cc72_00013348-RA,-0.216730362
Cc72_00013356-RA,0.535714286
Cc72_00013354-RA,-0.535714286
Cc72_00013352-RA,0.285714286
Cc72_00013363-RA,-0.810843716
Cc72_00013360-RA,0.75
Cc72_00013361-RA,0.178571429
Cc72_00013359-RA,
Cc72_00013362-RA,-0.642857143
Cc72_00013357-RA,0.821428571
Cc72_00013358-RA,
Cc72_00013365-RA,-0.95499371
Cc72_00013366-RA,0.857142857
Cc72_00013371-RA,-0.785714286
Cc72_00013369-RA,0.785714286
Cc72_00013370-RA,-0.535714286
Cc72_00013364-RA,-0.607142857
Cc72_00013367-RA,-0.214285714
Cc72_00013368-RA,
Cc72_00013373-RA,-0.25
Cc72_00013374-RA,0.464285714
Cc72_00013372-RA,-0.785714286
Cc72_00013377-RA,0.214285714
Cc72_00013378-RA,-0.857142857
Cc72_00013380-RA,-0.785714286
Cc72_00013375-RA,-0.392857143
Cc72_00013379-RA,0.071428571
Cc72_00013376-RA,0.357142857
Cc72_00013383-RA,-0.428571429
Cc72_00013382-RA,-0.428571429
Cc72_00013381-RA,-0.866921447
Cc72_00013384-RA,0.642857143
Cc72_00013392-RA,0.714285714
Cc72_00013388-RA,-0.642857143
Cc72_00013391-RA,0.321428571
Cc72_00013385-RA,-0.785714286
Cc72_00013386-RA,0
Cc72_00013387-RA,-0.612372436
Cc72_00013393-RA,0.857142857
Cc72_00013395-RA,0.821428571
Cc72_00013389-RA,0.535714286
Cc72_00013394-RA,-0.866921447
Cc72_00013390-RA,-0.321428571
Cc72_00013402-RA,0.035714286
Cc72_00013401-RA,0.178571429
Cc72_00013406-RA,0.05910828
Cc72_00013400-RA,-0.285714286
Cc72_00013404-RA,0.035714286
Cc72_00013397-RA,-0.702731221
Cc72_00013399-RA,
Cc72_00013403-RA,-0.768407646
Cc72_00013396-RA,-0.774806218
Cc72_00013405-RA,-0.40824829
Cc72_00013398-RA,-0.357142857
Cc72_00013413-RA,-0.107142857
Cc72_00013410-RA,-0.785714286
Cc72_00013416-RA,0.107142857
Cc72_00013412-RA,0.142857143
Cc72_00013409-RA,0.321428571
Cc72_00013408-RA,-0.534522484
Cc72_00013414-RA,-0.678571429
Cc72_00013415-RA,0
Cc72_00013417-RA,
Cc72_00013418-RA,0.785714286
Cc72_00013407-RA,
Cc72_00013411-RA,-0.785714286
Cc72_00013422-RA,-0.678571429
Cc72_00013423-RA,0.25
Cc72_00013421-RA,-0.892857143
Cc72_00013419-RA,-0.5
Cc72_00013420-RA,-0.75
Cc72_00013430-RA,-0.5
Cc72_00013426-RA,0.669893845
Cc72_00013429-RA,-0.928571429
Cc72_00013433-RA,0
Cc72_00013431-RA,0.428571429
Cc72_00013428-RA,-0.892857143
Cc72_00013432-RA,-0.035714286
Cc72_00013424-RA,0.178571429
Cc72_00013425-RA,0.669893845
Cc72_00013427-RA,0.40824829
Cc72_00013434-RA,0.714285714
Cc72_00013435-RA,-0.453163484
Cc72_00013442-RA,-0.321428571
Cc72_00013441-RA,0
Cc72_00013439-RA,-0.678571429
Cc72_00013443-RA,
Cc72_00013444-RA,
Cc72_00013445-RA,
Cc72_00013436-RA,
Cc72_00013440-RA,0.5
Cc72_00013438-RA,-0.714285714
Cc72_00013437-RA,-0.107142857
Cc72_00013447-RA,-0.918956212
Cc72_00013448-RA,-0.714285714
Cc72_00013449-RA,-0.612372436
Cc72_00013446-RA,-0.714285714
Cc72_00013451-RA,-0.714285714
Cc72_00013452-RA,0.857142857
Cc72_00013455-RA,
Cc72_00013464-RA,0.107142857
Cc72_00013461-RA,0.714285714
Cc72_00013462-RA,0.571428571
Cc72_00013459-RA,-0.107142857
Cc72_00013453-RA,0.178571429
Cc72_00013463-RA,-0.107142857
Cc72_00013460-RA,0.321428571
Cc72_00013450-RA,
Cc72_00013458-RA,-0.666693722
Cc72_00013457-RA,
Cc72_00013456-RA,
Cc72_00013454-RA,
Cc72_00013465-RA,0.607142857
Cc72_00013468-RA,-0.374352443
Cc72_00013466-RA,0.204124145
Cc72_00013467-RA,
Cc72_00013471-RA,
Cc72_00013472-RA,
Cc72_00013469-RA,
Cc72_00013470-RA,
Cc72_00013484-RA,
Cc72_00013473-RA,0.75
Cc72_00013474-RA,-0.612372436
Cc72_00013475-RA,-0.801783726
Cc72_00013476-RA,-0.757240185
Cc72_00013486-RA,-0.178571429
Cc72_00013482-RA,0.75
Cc72_00013488-RA,-0.285714286
Cc72_00013479-RA,-0.684712472
Cc72_00013487-RA,-0.75
Cc72_00013481-RA,0.428571429
Cc72_00013483-RA,-0.107142857
Cc72_00013478-RA,0.035714286
Cc72_00013480-RA,-0.107142857
Cc72_00013477-RA,-0.25
