Name,granger
Cc72_00013618-RA,0.969224499
Cc72_00013623-RA,0.616892032
Cc72_00013630-RA,0.671205148
Cc72_00013631-RA,0.258893917
Cc72_00013624-RA,0.124362311
Cc72_00013625-RA,0.671533386
Cc72_00013629-RA,0.056851372
Cc72_00013627-RA,0.405851674
Cc72_00013628-RA,0.471665446
Cc72_00013632-RA,0.43122383
Cc72_00013637-RA,0.301060047
Cc72_00013634-RA,0.049926476
Cc72_00013635-RA,0.750683831
Cc72_00013633-RA,0.625753612
Cc72_00013639-RA,0.47399626
Cc72_00013636-RA,0.053021167
Cc72_00013638-RA,0.536803872
Cc72_00013645-RA,0.946988803
Cc72_00013646-RA,0.935471587
Cc72_00013649-RA,0.936966873
Cc72_00013652-RA,0.235630804
Cc72_00013653-RA,0.092628375
Cc72_00013651-RA,0.360276826
Cc72_00013647-RA,0.2860444
Cc72_00013650-RA,0.107595993
Cc72_00013648-RA,0.337705394
Cc72_00013657-RA,0.345222592
Cc72_00013656-RA,0.796112451
Cc72_00013659-RA,0.827909901
Cc72_00013655-RA,0.386951383
Cc72_00013658-RA,0.807685585
Cc72_00013660-RA,0.654800956
Cc72_00013661-RA,0.254785878
Cc72_00013662-RA,0.611826492
Cc72_00013663-RA,0.854215842
Cc72_00013664-RA,0.476413222
Cc72_00013665-RA,0.283040905
Cc72_00013670-RA,0.302379663
Cc72_00013666-RA,0.301060047
Cc72_00013676-RA,0.601108824
Cc72_00013673-RA,0.31472027
Cc72_00013674-RA,0.29862713
Cc72_00013675-RA,0.789041494
Cc72_00013677-RA,0.334409587
Cc72_00013679-RA,0.319106233
Cc72_00013683-RA,0.035712051
Cc72_00013678-RA,0.835161725
Cc72_00013680-RA,0.383690213
Cc72_00013681-RA,0.592492435
Cc72_00013697-RA,0.728160749
Cc72_00013693-RA,0.981927896
Cc72_00013689-RA,0.231338706
Cc72_00013701-RA,0.946988803
Cc72_00013694-RA,0.633672393
Cc72_00013700-RA,0.946988803
Cc72_00013708-RA,0.946988803
Cc72_00013704-RA,0.946988803
Cc72_00013716-RA,0.728160749
Cc72_00013718-RA,0.301060047
Cc72_00013719-RA,0.034334129
Cc72_00013692-RA,0.285590019
Cc72_00013690-RA,0.83093357
Cc72_00013722-RA,0.025685435
Cc72_00013684-RA,0.973464477
Cc72_00013703-RA,0.104179007
Cc72_00013706-RA,0.719314488
Cc72_00013691-RA,0.401566577
Cc72_00013712-RA,0.946988803
Cc72_00013723-RA,0.560640261
Cc72_00013705-RA,0.728160749
Cc72_00013687-RA,0.669618572
Cc72_00013715-RA,0.242287192
Cc72_00013710-RA,0.431618709
Cc72_00013724-RA,0.832138538
Cc72_00013729-RA,0.201587104
Cc72_00013725-RA,0.775248381
Cc72_00013726-RA,0.502361079
Cc72_00013728-RA,0.299065928
Cc72_00013727-RA,0.359183627
Cc72_00013731-RA,0.431618709
Cc72_00013730-RA,0.476679313
Cc72_00013732-RA,0.306642222
Cc72_00013733-RA,0.335937714
Cc72_00013736-RA,0.590418842
Cc72_00013735-RA,0.400147059
Cc72_00013737-RA,0.728160749
Cc72_00013740-RA,0.827588427
Cc72_00013743-RA,0.241022676
Cc72_00013739-RA,0.649236332
Cc72_00013747-RA,0.82502873
Cc72_00013746-RA,0.301060047
Cc72_00013744-RA,0.324990267
Cc72_00013745-RA,0.34663705
Cc72_00013753-RA,0.654378093
Cc72_00013748-RA,0.079889906
Cc72_00013749-RA,0.077171184
Cc72_00013752-RA,0.331273773
Cc72_00013751-RA,0.269349687
Cc72_00013750-RA,0.633672393
Cc72_00013755-RA,0.016503025
Cc72_00013754-RA,0.153214944
Cc72_00013758-RA,0.320132797
Cc72_00013756-RA,0.026749407
Cc72_00013757-RA,0.230395628
Cc72_00013759-RA,0.257784477
Cc72_00013760-RA,0.255130943
Cc72_00013765-RA,0.24175215
Cc72_00013761-RA,0.702503769
Cc72_00013763-RA,0.966050786
Cc72_00013762-RA,0.949415524
Cc72_00013768-RA,0.66446872
Cc72_00013767-RA,0.196453055
Cc72_00013766-RA,0.131448438
Cc72_00013775-RA,0.831947037
Cc72_00013770-RA,0.666127426
Cc72_00013771-RA,0.239506668
Cc72_00013769-RA,0.017024975
Cc72_00013773-RA,0.754622662
Cc72_00013772-RA,0.954521715
Cc72_00013774-RA,0.50464571
Cc72_00013776-RA,0.362212241
Cc72_00013779-RA,0.420622505
Cc72_00013777-RA,0.842884376
Cc72_00013781-RA,0.329810866
Cc72_00013780-RA,0.443565438
Cc72_00013778-RA,0.843181105
Cc72_00013782-RA,0.219680372
Cc72_00013784-RA,0.832001224
Cc72_00013783-RA,0.712003801
Cc72_00013787-RA,0.501877892
Cc72_00013785-RA,0.632885188
Cc72_00013791-RA,0.659947693
Cc72_00013789-RA,0.321920474
Cc72_00013788-RA,0.170683764
Cc72_00013792-RA,0.499989252
Cc72_00013790-RA,0.669796991
Cc72_00013799-RA,0.475792858
Cc72_00013795-RA,0.936984999
Cc72_00013796-RA,0.023925436
Cc72_00013802-RA,0.042193692
Cc72_00013805-RA,0.322556274
Cc72_00013803-RA,0.129450949
Cc72_00013801-RA,0.010749073
Cc72_00013804-RA,0.632478388
Cc72_00013807-RA,0.143599288
Cc72_00013806-RA,0.142735731
Cc72_00013809-RA,0.607777137
Cc72_00013808-RA,0.72392976
Cc72_00013810-RA,0.789381573
Cc72_00013815-RA,0.728915116
Cc72_00013816-RA,0.69166517
Cc72_00013817-RA,0.32695062
Cc72_00013814-RA,0.946988803
Cc72_00013820-RA,0.943487831
Cc72_00013819-RA,0.27458895
Cc72_00013821-RA,0.142455818
Cc72_00013823-RA,0.431618709
Cc72_00013824-RA,0.047175384
Cc72_00013825-RA,0.381543095
Cc72_00013826-RA,0.219778526
