Name,Pearson
Cc72_00013359-RA,
Cc72_00013362-RA,-0.877850802
Cc72_00013357-RA,0.92891586
Cc72_00013358-RA,
Cc72_00013365-RA,-0.5795278
Cc72_00013366-RA,0.690477383
Cc72_00013371-RA,-0.838819618
Cc72_00013369-RA,0.744018368
Cc72_00013370-RA,-0.675154512
Cc72_00013364-RA,-0.615775127
Cc72_00013367-RA,0.066602074
Cc72_00013368-RA,
Cc72_00013373-RA,-0.328842965
Cc72_00013374-RA,0.36013816
Cc72_00013372-RA,-0.940774909
Cc72_00013377-RA,0.092841057
Cc72_00013378-RA,-0.655638569
Cc72_00013380-RA,-0.805430096
Cc72_00013375-RA,-0.18527215
Cc72_00013379-RA,0.269143329
Cc72_00013376-RA,0.094120061
Cc72_00013383-RA,-0.264649419
Cc72_00013382-RA,-0.110131565
Cc72_00013381-RA,-0.815668074
Cc72_00013384-RA,0.559167605
Cc72_00013392-RA,0.602262093
Cc72_00013388-RA,-0.770138202
Cc72_00013391-RA,0.316867443
Cc72_00013385-RA,-0.87411225
Cc72_00013386-RA,0.074349672
Cc72_00013387-RA,-0.533264642
Cc72_00013393-RA,0.663226394
Cc72_00013395-RA,0.976392799
Cc72_00013389-RA,0.493935008
Cc72_00013394-RA,-0.555658873
Cc72_00013390-RA,-0.475069835
Cc72_00013402-RA,0.060594376
Cc72_00013401-RA,0.088035571
Cc72_00013406-RA,-0.339886922
Cc72_00013400-RA,-0.450053531
Cc72_00013404-RA,0.184141387
Cc72_00013397-RA,-0.717799075
Cc72_00013399-RA,
Cc72_00013403-RA,-0.702718455
Cc72_00013396-RA,-0.549331999
Cc72_00013405-RA,-0.513993756
Cc72_00013398-RA,-0.561320859
Cc72_00013413-RA,0.264883799
Cc72_00013410-RA,-0.862250954
Cc72_00013416-RA,0.375159145
Cc72_00013412-RA,0.145929945
Cc72_00013409-RA,0.374912805
Cc72_00013408-RA,-0.524510361
Cc72_00013414-RA,-0.782772285
Cc72_00013415-RA,0.00273456
Cc72_00013417-RA,
Cc72_00013418-RA,0.865012103
Cc72_00013407-RA,
Cc72_00013411-RA,-0.80660068
Cc72_00013422-RA,-0.964447573
Cc72_00013423-RA,0.279586182
Cc72_00013421-RA,-0.751418773
Cc72_00013419-RA,-0.629737409
Cc72_00013420-RA,-0.502650978
Cc72_00013430-RA,-0.647529456
Cc72_00013426-RA,0.649837859
Cc72_00013429-RA,-0.842290867
Cc72_00013433-RA,0.007275125
Cc72_00013431-RA,0.542798028
Cc72_00013428-RA,-0.713518902
Cc72_00013432-RA,0.072005223
Cc72_00013424-RA,0.174189525
Cc72_00013425-RA,0.658043919
Cc72_00013427-RA,0.410114644
Cc72_00013434-RA,0.698691489
Cc72_00013435-RA,-0.520919596
Cc72_00013442-RA,-0.545163021
Cc72_00013441-RA,-0.324036949
Cc72_00013439-RA,-0.450922198
Cc72_00013443-RA,
Cc72_00013444-RA,
Cc72_00013445-RA,
Cc72_00013436-RA,
Cc72_00013440-RA,0.515868195
Cc72_00013438-RA,-0.776693319
Cc72_00013437-RA,-0.440509991
Cc72_00013447-RA,-0.962452994
Cc72_00013448-RA,-0.644873395
Cc72_00013449-RA,-0.533264642
Cc72_00013446-RA,-0.661706913
Cc72_00013451-RA,-0.757661914
Cc72_00013452-RA,0.892912142
Cc72_00013455-RA,
Cc72_00013464-RA,0.015123039
Cc72_00013461-RA,0.681416331
Cc72_00013462-RA,0.460317694
Cc72_00013459-RA,-0.374776339
Cc72_00013453-RA,0.454443109
Cc72_00013463-RA,0.008264814
Cc72_00013460-RA,0.572471062
Cc72_00013450-RA,
Cc72_00013458-RA,-0.607011777
Cc72_00013457-RA,
Cc72_00013456-RA,
Cc72_00013454-RA,
Cc72_00013465-RA,0.689940716
Cc72_00013468-RA,-0.159060851
Cc72_00013466-RA,0.265397412
Cc72_00013467-RA,
Cc72_00013471-RA,
Cc72_00013472-RA,
Cc72_00013469-RA,
Cc72_00013470-RA,
Cc72_00013484-RA,
Cc72_00013473-RA,0.895190763
Cc72_00013474-RA,-0.533264642
Cc72_00013475-RA,-0.544145536
Cc72_00013476-RA,-0.795352449
Cc72_00013486-RA,-0.234765342
Cc72_00013482-RA,0.902251857
Cc72_00013488-RA,-0.154696815
Cc72_00013479-RA,-0.755818472
Cc72_00013487-RA,-0.91055383
Cc72_00013481-RA,0.464286637
Cc72_00013483-RA,-0.205489003
Cc72_00013478-RA,0.129015033
Cc72_00013480-RA,0.146005353
Cc72_00013477-RA,-0.118208553
Cc72_00013485-RA,-0.513993756
Cc72_00013490-RA,
Cc72_00013493-RA,0.133267843
Cc72_00013489-RA,-0.155760879
Cc72_00013492-RA,-0.830222982
Cc72_00013491-RA,0.782355973
Cc72_00013495-RA,-0.905187645
Cc72_00013496-RA,-0.571357926
Cc72_00013494-RA,
Cc72_00013505-RA,-0.345671759
Cc72_00013509-RA,-0.765664234
Cc72_00013504-RA,
Cc72_00013498-RA,-0.333466495
Cc72_00013506-RA,0.672090529
Cc72_00013507-RA,-0.74144317
Cc72_00013500-RA,-0.45226244
Cc72_00013497-RA,-0.457720843
Cc72_00013510-RA,-0.750501324
Cc72_00013503-RA,0.913241501
Cc72_00013499-RA,0.622440283
Cc72_00013508-RA,0.638396558
Cc72_00013501-RA,0.531955072
Cc72_00013502-RA,-0.807126414
Cc72_00013511-RA,-0.065477598
Cc72_00013512-RA,
Cc72_00013514-RA,-0.111033001
Cc72_00013513-RA,-0.524274727
Cc72_00013518-RA,-0.50252219
Cc72_00013520-RA,0.358695041
Cc72_00013519-RA,0.259845448
Cc72_00013517-RA,-0.533264642
Cc72_00013515-RA,
Cc72_00013516-RA,
Cc72_00013529-RA,
Cc72_00013527-RA,0.420430027
Cc72_00013524-RA,
Cc72_00013523-RA,-0.110887987
Cc72_00013530-RA,-0.770026292
Cc72_00013528-RA,-0.700056574
Cc72_00013521-RA,-0.679751747
Cc72_00013522-RA,-0.655458572
Cc72_00013531-RA,0.291501155
Cc72_00013525-RA,
Cc72_00013526-RA,
Cc72_00013532-RA,-0.751126041
Cc72_00013536-RA,-0.740603806
Cc72_00013534-RA,-0.760042724
Cc72_00013535-RA,0.421716903
Cc72_00013538-RA,0.457620811
Cc72_00013537-RA,-0.531532069
Cc72_00013533-RA,-0.232416596
Cc72_00013540-RA,
Cc72_00013539-RA,
Cc72_00013544-RA,0.587052347
Cc72_00013546-RA,-0.105576211
Cc72_00013543-RA,0.541774177
Cc72_00013542-RA,-0.729543439
Cc72_00013545-RA,-0.861750788
Cc72_00013541-RA,
Cc72_00013549-RA,0.395378553
Cc72_00013547-RA,0.186139082
Cc72_00013550-RA,0.167312939
Cc72_00013548-RA,
Cc72_00013555-RA,-0.423763916
Cc72_00013554-RA,-0.187090581
Cc72_00013556-RA,-0.765873804
Cc72_00013552-RA,-0.468513987
Cc72_00013553-RA,-0.432124607
Cc72_00013551-RA,-0.937557138
Cc72_00013557-RA,0.306533742
Cc72_00013558-RA,-0.310425769
Cc72_00013561-RA,-0.019203247
Cc72_00013560-RA,-0.533530173
Cc72_00013559-RA,-0.566567196
Cc72_00013563-RA,0.915091351
Cc72_00013562-RA,0.484281059
Cc72_00013564-RA,-0.681268004
Cc72_00013566-RA,-0.885964355
Cc72_00013565-RA,0.427784256
Cc72_00013569-RA,-0.034094225
Cc72_00013568-RA,-0.114148787
Cc72_00013567-RA,
Cc72_00013573-RA,-0.805507412
Cc72_00013572-RA,
Cc72_00013570-RA,-0.887129459
Cc72_00013574-RA,-0.569790309
Cc72_00013575-RA,
Cc72_00013571-RA,-0.18465707
Cc72_00013576-RA,-0.771654389
Cc72_00013580-RA,-0.798991819
Cc72_00013581-RA,0.038585509
Cc72_00013577-RA,-0.826439539
Cc72_00013588-RA,
Cc72_00013579-RA,-0.547962256
Cc72_00013582-RA,-0.533467996
Cc72_00013589-RA,0.741775534
Cc72_00013578-RA,-0.371185893
Cc72_00013585-RA,-0.258394249
Cc72_00013587-RA,0.025013216
Cc72_00013586-RA,0.370562906
Cc72_00013584-RA,0.410114644
Cc72_00013583-RA,
Cc72_00013592-RA,-0.766715977
Cc72_00013591-RA,-0.82137954
Cc72_00013590-RA,-0.789174649
Cc72_00013593-RA,
Cc72_00013595-RA,0.372592295
Cc72_00013594-RA,
Cc72_00013600-RA,-0.71684009
Cc72_00013597-RA,-0.533264642
Cc72_00013598-RA,-0.690172967
Cc72_00013596-RA,0.256435008
Cc72_00013602-RA,-0.686754822
Cc72_00013610-RA,-0.692267513
Cc72_00013615-RA,-0.893282938
Cc72_00013604-RA,0.463151504
Cc72_00013612-RA,-0.678497678
Cc72_00013613-RA,-0.670043937
Cc72_00013605-RA,-0.351959842
Cc72_00013616-RA,-0.649465949
Cc72_00013614-RA,
Cc72_00013599-RA,0.484231861
Cc72_00013611-RA,
Cc72_00013601-RA,-0.319557313
Cc72_00013606-RA,-0.008000558
Cc72_00013607-RA,-0.583908268
Cc72_00013603-RA,0.073164205
Cc72_00013608-RA,
Cc72_00013609-RA,
Cc72_00013621-RA,-0.145339216
