Name,log2FoldChange
Cc72_00013344-RA,NA
Cc72_00013346-RA,-0.923814884
Cc72_00013338-RA,0.918381368
Cc72_00013334-RA,NA
Cc72_00013332-RA,NA
Cc72_00013329-RA,NA
Cc72_00013328-RA,NA
Cc72_00013340-RA,-0.651038896
Cc72_00013333-RA,NA
Cc72_00013345-RA,NA
Cc72_00013341-RA,-0.257513465
Cc72_00013347-RA,0.439120284
Cc72_00013337-RA,NA
Cc72_00013339-RA,-0.057374495
Cc72_00013336-RA,1.161146995
Cc72_00013335-RA,1.187985927
Cc72_00013355-RA,-0.131778834
Cc72_00013351-RA,0.067561375
Cc72_00013353-RA,-0.002301386
Cc72_00013349-RA,-0.41588355
Cc72_00013350-RA,-1.255430951
Cc72_00013348-RA,NA
Cc72_00013356-RA,-0.139356997
Cc72_00013354-RA,-0.304724763
Cc72_00013352-RA,0.342994555
Cc72_00013363-RA,-0.487712143
Cc72_00013360-RA,0.283495109
Cc72_00013361-RA,-0.373052271
Cc72_00013359-RA,NA
Cc72_00013362-RA,-2.625536593
Cc72_00013357-RA,-0.036727494
Cc72_00013358-RA,NA
Cc72_00013365-RA,-1.468037943
Cc72_00013366-RA,0.845670765
Cc72_00013371-RA,-1.049152715
Cc72_00013369-RA,0.287743176
Cc72_00013370-RA,-0.115027198
Cc72_00013364-RA,-0.183668841
Cc72_00013367-RA,-0.698656277
Cc72_00013368-RA,NA
Cc72_00013373-RA,-1.050682378
Cc72_00013374-RA,-0.576530794
Cc72_00013372-RA,-3.0019018
Cc72_00013377-RA,0.072783062
Cc72_00013378-RA,-1.622000261
Cc72_00013380-RA,-1.263527253
Cc72_00013375-RA,-0.228386927
Cc72_00013379-RA,0.186132445
Cc72_00013376-RA,-0.274870563
Cc72_00013383-RA,0.118674869
Cc72_00013382-RA,0.280063817
Cc72_00013381-RA,-0.514877159
Cc72_00013384-RA,0.593332656
Cc72_00013392-RA,1.013404324
Cc72_00013388-RA,-0.559615068
Cc72_00013391-RA,0.375537291
Cc72_00013385-RA,-1.698338025
Cc72_00013386-RA,0.117238651
Cc72_00013387-RA,0.446851476
Cc72_00013393-RA,1.281743096
Cc72_00013395-RA,0.396668313
Cc72_00013389-RA,0.410805694
Cc72_00013394-RA,-1.873794827
Cc72_00013390-RA,-0.207519241
Cc72_00013402-RA,-0.530206835
Cc72_00013401-RA,0.047096032
Cc72_00013406-RA,NA
Cc72_00013400-RA,-0.429788725
Cc72_00013404-RA,0.283270332
Cc72_00013397-RA,NA
Cc72_00013399-RA,NA
Cc72_00013403-RA,NA
Cc72_00013396-RA,NA
Cc72_00013405-RA,NA
Cc72_00013398-RA,0.001700974
Cc72_00013413-RA,0.408786587
Cc72_00013410-RA,-0.381761895
Cc72_00013416-RA,0.731763791
Cc72_00013412-RA,-0.049559116
Cc72_00013409-RA,0.087538075
Cc72_00013408-RA,NA
Cc72_00013414-RA,-1.438981127
Cc72_00013415-RA,-0.186178413
Cc72_00013417-RA,NA
Cc72_00013418-RA,0.13716251
Cc72_00013407-RA,NA
Cc72_00013411-RA,-0.433824892
Cc72_00013422-RA,-0.969719326
Cc72_00013423-RA,0.50662279
Cc72_00013421-RA,0.43778115
Cc72_00013419-RA,-0.105687849
Cc72_00013420-RA,0.191237982
Cc72_00013430-RA,0.457034959
Cc72_00013426-RA,NA
Cc72_00013429-RA,0.000796356
Cc72_00013433-RA,1.537872816
Cc72_00013431-RA,1.573844702
Cc72_00013428-RA,-0.599343735
Cc72_00013432-RA,-0.201449311
Cc72_00013424-RA,0.258689159
Cc72_00013425-RA,NA
Cc72_00013427-RA,NA
Cc72_00013434-RA,-0.15026675
Cc72_00013435-RA,NA
Cc72_00013442-RA,NA
Cc72_00013441-RA,-0.205578877
Cc72_00013439-RA,-0.123305451
Cc72_00013443-RA,NA
Cc72_00013444-RA,NA
Cc72_00013445-RA,NA
Cc72_00013436-RA,NA
Cc72_00013440-RA,0.0461476
Cc72_00013438-RA,-0.653694336
Cc72_00013437-RA,-2.890105886
Cc72_00013447-RA,NA
Cc72_00013448-RA,-0.534200676
Cc72_00013449-RA,NA
Cc72_00013446-RA,0.085120121
Cc72_00013451-RA,-1.064384931
Cc72_00013452-RA,-0.019969038
Cc72_00013455-RA,NA
Cc72_00013464-RA,-0.433052917
Cc72_00013461-RA,3.528006259
Cc72_00013462-RA,1.784064994
Cc72_00013459-RA,1.552991212
Cc72_00013453-RA,0.109788578
Cc72_00013463-RA,-0.198352034
Cc72_00013460-RA,0.321422986
Cc72_00013450-RA,NA
Cc72_00013458-RA,NA
Cc72_00013457-RA,NA
Cc72_00013456-RA,NA
Cc72_00013454-RA,NA
Cc72_00013465-RA,0.006200871
Cc72_00013468-RA,NA
Cc72_00013466-RA,NA
Cc72_00013467-RA,NA
Cc72_00013471-RA,NA
Cc72_00013472-RA,NA
Cc72_00013469-RA,NA
Cc72_00013470-RA,NA
Cc72_00013484-RA,NA
Cc72_00013473-RA,0.326735153
Cc72_00013474-RA,NA
Cc72_00013475-RA,-0.514877159
Cc72_00013476-RA,NA
Cc72_00013486-RA,-0.246921681
Cc72_00013482-RA,0.251384181
Cc72_00013488-RA,-0.872950471
Cc72_00013479-RA,NA
Cc72_00013487-RA,-2.662607869
Cc72_00013481-RA,-0.092020364
Cc72_00013483-RA,0.008364095
Cc72_00013478-RA,0.586752776
Cc72_00013480-RA,-0.163361729
Cc72_00013477-RA,0.342310138
Cc72_00013485-RA,NA
Cc72_00013490-RA,NA
Cc72_00013493-RA,-0.174871614
Cc72_00013489-RA,-0.65894818
Cc72_00013492-RA,NA
Cc72_00013491-RA,1.128911451
Cc72_00013495-RA,-0.514877159
Cc72_00013496-RA,NA
Cc72_00013494-RA,NA
Cc72_00013505-RA,NA
Cc72_00013509-RA,-0.864598961
Cc72_00013504-RA,NA
Cc72_00013498-RA,-0.082671717
Cc72_00013506-RA,0.26093799
Cc72_00013507-RA,-0.012488256
Cc72_00013500-RA,-0.03375848
Cc72_00013497-RA,0.366907361
Cc72_00013510-RA,-0.610359747
Cc72_00013503-RA,1.336266868
Cc72_00013499-RA,0.117536713
Cc72_00013508-RA,0.000813242
Cc72_00013501-RA,-0.145592962
Cc72_00013502-RA,NA
Cc72_00013511-RA,0.693161401
Cc72_00013512-RA,NA
Cc72_00013514-RA,-0.501263252
Cc72_00013513-RA,-0.39970335
Cc72_00013518-RA,-1.145380485
Cc72_00013520-RA,0.509645789
Cc72_00013519-RA,0.754128242
Cc72_00013517-RA,NA
Cc72_00013515-RA,NA
Cc72_00013516-RA,NA
Cc72_00013529-RA,NA
Cc72_00013527-RA,-0.449163766
Cc72_00013524-RA,NA
Cc72_00013523-RA,-1.536090889
Cc72_00013530-RA,-0.089676978
Cc72_00013528-RA,-0.514535639
Cc72_00013521-RA,-0.86445179
Cc72_00013522-RA,NA
Cc72_00013531-RA,-1.025566491
Cc72_00013525-RA,NA
Cc72_00013526-RA,NA
Cc72_00013532-RA,-1.774553536
Cc72_00013536-RA,-2.418302191
Cc72_00013534-RA,-0.935074133
Cc72_00013535-RA,-0.195787221
Cc72_00013538-RA,0.281695412
Cc72_00013537-RA,NA
Cc72_00013533-RA,-0.571190181
Cc72_00013540-RA,NA
Cc72_00013539-RA,NA
Cc72_00013544-RA,0.25913611
Cc72_00013546-RA,0.150712434
Cc72_00013543-RA,1.548193153
Cc72_00013542-RA,-0.545941179
Cc72_00013545-RA,-0.393377281
Cc72_00013541-RA,NA
Cc72_00013549-RA,0.162099662
Cc72_00013547-RA,1.115730873
Cc72_00013550-RA,-0.087211029
Cc72_00013548-RA,NA
Cc72_00013555-RA,NA
Cc72_00013554-RA,-0.286411514
Cc72_00013556-RA,-0.751960978
Cc72_00013552-RA,0.555343422
Cc72_00013553-RA,-0.253777068
Cc72_00013551-RA,-0.318933754
Cc72_00013557-RA,1.256971835
Cc72_00013558-RA,-0.162617861
Cc72_00013561-RA,-0.111274436
Cc72_00013560-RA,NA
Cc72_00013559-RA,-1.245099166
Cc72_00013563-RA,0.001169107
Cc72_00013562-RA,0.075618597
Cc72_00013564-RA,NA
Cc72_00013566-RA,-2.763461971
Cc72_00013565-RA,-0.514877159
Cc72_00013569-RA,0.542743424
Cc72_00013568-RA,0.433086222
Cc72_00013567-RA,NA
Cc72_00013573-RA,-4.267173742
Cc72_00013572-RA,NA
Cc72_00013570-RA,-0.306627496
Cc72_00013574-RA,0.330720262
Cc72_00013575-RA,NA
Cc72_00013571-RA,0.381263955
Cc72_00013576-RA,NA
Cc72_00013580-RA,-1.591558615
Cc72_00013581-RA,0.203516434
Cc72_00013577-RA,-0.149791648
Cc72_00013588-RA,NA
Cc72_00013579-RA,NA
Cc72_00013582-RA,NA
Cc72_00013589-RA,0.782234578
Cc72_00013578-RA,0.113722683
Cc72_00013585-RA,-0.769299987
Cc72_00013587-RA,-1.243319821
Cc72_00013586-RA,-1.245099166
Cc72_00013584-RA,NA
Cc72_00013583-RA,NA
Cc72_00013592-RA,-1.966899507
Cc72_00013591-RA,-1.255430951
Cc72_00013590-RA,-0.858585615
Cc72_00013593-RA,NA
Cc72_00013595-RA,-1.710035316
Cc72_00013594-RA,NA
Cc72_00013600-RA,-1.04738338
Cc72_00013597-RA,NA
Cc72_00013598-RA,-0.514877159
Cc72_00013596-RA,0.0454231
Cc72_00013602-RA,-1.616758482
Cc72_00013610-RA,-1.445200208
Cc72_00013615-RA,-0.473101058
Cc72_00013604-RA,-0.333228104
Cc72_00013612-RA,-1.930834143
Cc72_00013613-RA,-1.775327931
Cc72_00013605-RA,-0.332234445
Cc72_00013616-RA,-0.338727507
Cc72_00013614-RA,NA
Cc72_00013599-RA,NA
Cc72_00013611-RA,NA
Cc72_00013601-RA,NA
Cc72_00013606-RA,NA
Cc72_00013607-RA,NA
Cc72_00013603-RA,NA
Cc72_00013608-RA,NA
Cc72_00013609-RA,NA
Cc72_00013621-RA,-1.245099166
Cc72_00013619-RA,NA
Cc72_00013620-RA,-0.041284653
Cc72_00013622-RA,0.446851476
Cc72_00013617-RA,0.000663997
Cc72_00013618-RA,-0.487712143
Cc72_00013623-RA,-0.514877159
Cc72_00013630-RA,1.864810113
Cc72_00013631-RA,-0.647639806
Cc72_00013626-RA,NA
Cc72_00013624-RA,-1.766016623
Cc72_00013625-RA,-3.071022759
Cc72_00013629-RA,0.446851476
Cc72_00013627-RA,-1.077049139
Cc72_00013628-RA,-0.739838211
Cc72_00013632-RA,0.031393873
Cc72_00013637-RA,NA
Cc72_00013634-RA,-2.916248101
Cc72_00013635-RA,NA
Cc72_00013633-RA,-0.515906371
Cc72_00013639-RA,-0.392688819
Cc72_00013636-RA,NA
Cc72_00013638-RA,0.470920786
Cc72_00013642-RA,NA
Cc72_00013644-RA,NA
Cc72_00013640-RA,NA
Cc72_00013643-RA,NA
Cc72_00013645-RA,0.446851476
Cc72_00013641-RA,NA
Cc72_00013646-RA,-0.153058484
Cc72_00013649-RA,-0.140699691
Cc72_00013652-RA,-1.255430951
Cc72_00013653-RA,-1.625482268
Cc72_00013651-RA,NA
Cc72_00013647-RA,NA
Cc72_00013650-RA,NA
Cc72_00013648-RA,NA
Cc72_00013654-RA,NA
Cc72_00013657-RA,0.303074576
Cc72_00013656-RA,-1.255430951
Cc72_00013659-RA,1.512106799
Cc72_00013655-RA,-1.255430951
Cc72_00013658-RA,-0.169188945
Cc72_00013660-RA,0.40617193
Cc72_00013661-RA,1.067236994
Cc72_00013668-RA,NA
Cc72_00013667-RA,NA
Cc72_00013662-RA,0.357863515
Cc72_00013663-RA,0.584328305
Cc72_00013664-RA,-0.696963446
Cc72_00013665-RA,-0.951935349
Cc72_00013669-RA,NA
Cc72_00013670-RA,NA
Cc72_00013666-RA,NA
Cc72_00013671-RA,NA
Cc72_00013676-RA,-0.260413053
Cc72_00013673-RA,NA
Cc72_00013682-RA,NA
Cc72_00013674-RA,0.439474284
Cc72_00013675-RA,0.288203234
Cc72_00013677-RA,NA
Cc72_00013679-RA,-1.255430951
Cc72_00013683-RA,NA
Cc72_00013678-RA,0.202017261
Cc72_00013680-RA,2.202962766
Cc72_00013681-RA,0.151820304
Cc72_00013672-RA,NA
Cc72_00013697-RA,NA
Cc72_00013693-RA,NA
Cc72_00013689-RA,NA
Cc72_00013701-RA,0.446851476
Cc72_00013696-RA,NA
Cc72_00013702-RA,NA
Cc72_00013695-RA,NA
Cc72_00013694-RA,NA
Cc72_00013700-RA,NA
Cc72_00013699-RA,NA
Cc72_00013707-RA,NA
Cc72_00013708-RA,NA
Cc72_00013704-RA,NA
Cc72_00013713-RA,NA
Cc72_00013714-RA,NA
Cc72_00013716-RA,NA
Cc72_00013718-RA,NA
Cc72_00013719-RA,NA
Cc72_00013692-RA,-0.485565752
Cc72_00013690-RA,1.384140735
Cc72_00013722-RA,-0.514877159
Cc72_00013709-RA,NA
Cc72_00013717-RA,NA
Cc72_00013684-RA,0.646776421
Cc72_00013721-RA,NA
Cc72_00013703-RA,NA
Cc72_00013720-RA,NA
Cc72_00013706-RA,1.187985927
Cc72_00013691-RA,NA
Cc72_00013698-RA,NA
Cc72_00013712-RA,0.446851476
Cc72_00013723-RA,-0.335543771
Cc72_00013705-RA,NA
Cc72_00013685-RA,NA
Cc72_00013687-RA,NA
Cc72_00013715-RA,-0.021607288
Cc72_00013710-RA,NA
Cc72_00013688-RA,NA
Cc72_00013686-RA,NA
Cc72_00013711-RA,NA
Cc72_00013724-RA,0.245984294
Cc72_00013729-RA,-0.607740656
Cc72_00013725-RA,1.757637945
Cc72_00013726-RA,-0.480635761
Cc72_00013728-RA,-1.564085719
Cc72_00013727-RA,-1.255430951
Cc72_00013731-RA,NA
Cc72_00013730-RA,0.622879491
Cc72_00013732-RA,-0.826819373
Cc72_00013733-RA,-0.927176514
Cc72_00013736-RA,0.499287397
Cc72_00013734-RA,NA
Cc72_00013735-RA,NA
Cc72_00013738-RA,NA
Cc72_00013737-RA,NA
Cc72_00013740-RA,0.56968911
Cc72_00013743-RA,NA
Cc72_00013742-RA,NA
Cc72_00013741-RA,NA
Cc72_00013739-RA,0.49731052
Cc72_00013747-RA,0.546774081
Cc72_00013746-RA,NA
Cc72_00013744-RA,0.122914997
Cc72_00013745-RA,-0.568604183
Cc72_00013753-RA,NA
Cc72_00013748-RA,NA
Cc72_00013749-RA,NA
Cc72_00013752-RA,NA
Cc72_00013751-RA,0.087970272
Cc72_00013750-RA,NA
Cc72_00013755-RA,-0.472826415
Cc72_00013754-RA,-0.36186578
Cc72_00013758-RA,-1.109987279
Cc72_00013756-RA,-0.514877159
Cc72_00013757-RA,0.191462734
Cc72_00013759-RA,-0.309198592
Cc72_00013760-RA,-0.514877159
Cc72_00013765-RA,1.563654516
Cc72_00013764-RA,NA
Cc72_00013761-RA,2.241437885
Cc72_00013763-RA,-0.130931895
Cc72_00013762-RA,-0.988655101
Cc72_00013768-RA,-2.109898165
Cc72_00013767-RA,0.198916139
Cc72_00013766-RA,0.195680674
Cc72_00013775-RA,0.313932193
Cc72_00013770-RA,-0.215575084
Cc72_00013771-RA,-0.240255063
Cc72_00013769-RA,NA
Cc72_00013773-RA,NA
Cc72_00013772-RA,-0.989307953
Cc72_00013774-RA,1.513185924
Cc72_00013776-RA,NA
Cc72_00013779-RA,0.260953735
Cc72_00013777-RA,1.842327115
Cc72_00013781-RA,0.926791023
Cc72_00013780-RA,-1.492621296
Cc72_00013778-RA,NA
Cc72_00013782-RA,-4.278097456
Cc72_00013784-RA,-0.109077587
Cc72_00013783-RA,-0.268560505
Cc72_00013787-RA,-0.280324495
Cc72_00013786-RA,NA
Cc72_00013785-RA,0.351135924
Cc72_00013791-RA,-2.066758373
Cc72_00013789-RA,0.195676969
Cc72_00013788-RA,0.293764921
Cc72_00013792-RA,0.630533711
Cc72_00013790-RA,NA
Cc72_00013797-RA,NA
Cc72_00013799-RA,0.125716325
Cc72_00013795-RA,0.089182527
Cc72_00013796-RA,-1.138367812
Cc72_00013794-RA,NA
Cc72_00013793-RA,NA
Cc72_00013798-RA,NA
Cc72_00013802-RA,NA
Cc72_00013805-RA,-1.202644738
Cc72_00013803-RA,-0.057039788
Cc72_00013801-RA,-0.243255103
Cc72_00013804-RA,-0.03941559
Cc72_00013807-RA,-0.03217886
Cc72_00013806-RA,0.070169472
Cc72_00013800-RA,NA
Cc72_00013809-RA,NA
Cc72_00013808-RA,-0.353011994
Cc72_00013810-RA,NA
Cc72_00013811-RA,NA
Cc72_00013815-RA,0.322686329
Cc72_00013818-RA,NA
Cc72_00013816-RA,-0.514877159
Cc72_00013812-RA,NA
Cc72_00013817-RA,-0.03420119
Cc72_00013814-RA,NA
Cc72_00013813-RA,NA
Cc72_00013820-RA,-2.505223181
Cc72_00013819-RA,0.01946305
Cc72_00013821-RA,NA
Cc72_00013823-RA,NA
Cc72_00013824-RA,-0.145768098
Cc72_00013825-RA,0.114422711
Cc72_00013822-RA,NA
Cc72_00013826-RA,0.880588419
Cc72_00013827-RA,0.040171111
Cc72_00013832-RA,NA
Cc72_00013836-RA,6.490094966
Cc72_00013835-RA,0.318862242
Cc72_00013837-RA,NA
Cc72_00013828-RA,-0.4136105
Cc72_00013830-RA,1.099977192
Cc72_00013838-RA,0.952600613
Cc72_00013834-RA,-0.705121635
Cc72_00013829-RA,-0.367480497
Cc72_00013833-RA,-0.02980494
Cc72_00013831-RA,NA
Cc72_00013839-RA,0.180635525
Cc72_00013843-RA,NA
Cc72_00013840-RA,0.262822318
Cc72_00013842-RA,NA
Cc72_00013841-RA,-0.684917069
Cc72_00013844-RA,NA
Cc72_00013845-RA,0.446851476
Cc72_00013847-RA,0.79978085
Cc72_00013846-RA,0.204017247
Cc72_00013853-RA,-0.299481855
Cc72_00013848-RA,-0.160935206
Cc72_00013854-RA,NA
Cc72_00013851-RA,-1.401793427
Cc72_00013849-RA,NA
Cc72_00013852-RA,NA
Cc72_00013850-RA,-0.037047768
Cc72_00013855-RA,-3.056518978
Cc72_00013856-RA,NA
Cc72_00013857-RA,NA
Cc72_00013858-RA,-0.392224608
Cc72_00013861-RA,-0.472767844
Cc72_00013866-RA,-0.754151464
Cc72_00013865-RA,0.498252739
Cc72_00013862-RA,-0.002827372
Cc72_00013859-RA,0.172029233
Cc72_00013863-RA,-2.317182836
